분류,자치구,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류,위도(X좌표),경도(Y좌표),유무료,문화포털상세URL
클래식,종로구,임유연 현아람 듀오 리사이틀,2023-12-05~2023-12-05,세종체임버홀,세종문화회관,미취학아동 입장불가,"전석 20,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34750&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d9958ba4e68d4afd9c8b2928d04c0b57&thumb=Y,2023-11-17,기관,00:00.0,00:00.0,기타,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144273&menuNo=200008
연극,은평구,[구립증산정보도서관] 은평문화재단 찾아가는 공연 가가호호 [제랄다와 거인],2023-12-05~2023-12-05,2층 소강당,은평구청,6세 이상 아동을 포함한 가족 80명 (보호자 동반),,,,,https://www.jsplib.or.kr/culture/event.asp?mode=view&lecture_seq=1841&listname=normal,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=807496a7b2544d3cb3066898e17b7d3d&thumb=Y,2023-11-22,기관,00:00.0,00:00.0,,37.582727,126.9075589,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144317&menuNo=200008
콘서트,종로구,2023 기업인을 위한 서경 송년음악회,2023-12-04~2023-12-04,세종대극장,세종문화회관,8세 이상 관람가,전석 초대,,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34739&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fb2c86f9a1994394b59765f4ebccbf20&thumb=Y,2023-11-17,기관,00:00.0,00:00.0,,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144270&menuNo=200008
클래식,종로구,한지은 플루트 독주회 Musicographic I,2023-12-04~2023-12-04,세종체임버홀,세종문화회관,초등학생 이상 입장 가능,"전석 20,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34649&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=934e04aec91e4d71a18613117b0588bf&thumb=Y,2023-11-17,기관,00:00.0,00:00.0,,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144271&menuNo=200008
클래식,마포구,[마포문화재단] Preview 2024 [보헤미아의 숲에서],2023-12-03~2023-12-10,마포아트센터 아트홀 맥,마포문화재단,8세이상관람가[미취학아동입장불가],"전석 1,000원",,,시작일자 및 종료일자를 이렇게 표기해주세요. '2023. 12. 3(일) 15시 / 12. 10(일) 15시' 감사합니다 ,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_code=BOARD_1207683401&sc_top_str=%EB%B3%B4%ED%97%A4%EB%AF%B8%EC%95%84&sc_str=%EC%9D%B8%EB%94%94&sc_type=1&pk_seq=2287&sc_cond=b_subject&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=74f235ed3e594dad8ab3d9952d39fcdd&thumb=Y,2023-11-08,기관,00:00.0,00:00.0,기타,37.54990609,126.9455338,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144076&menuNo=200008
교육/체험,종로구,[2023 신진미술인 지원 프로그램] 연계 전시 리뷰,2023-12-03~2023-12-03,서울시립 미술아카이브 나눔동 2층 다목적홀,서울시립미술관,성인,,,,,https://sema.seoul.go.kr/kr/whatson/event/detail?evtNo=1245020,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=02b0c01852be437eb6959b670d44e1bd&thumb=Y,2023-11-20,기관,00:00.0,00:00.0,기타,37.60802938,126.9721142,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144292&menuNo=200011
클래식,종로구,HPO 제12회 정기연주회,2023-12-03~2023-12-03,세종대극장,세종문화회관,취학 아동부터 입장 가능,"전석 10,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34676&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c3d2b6928f1e4f449635ae494d06b902&thumb=Y,2023-11-17,기관,00:00.0,00:00.0,기타,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144268&menuNo=200008
뮤지컬/오페라,종로구,뮤지컬 [맥베스],2023-12-02~2023-12-30,세종M씨어터,세종문화회관,만 12세 이상 관람가,"R 70,000원  S 50,000원  A 30,000원",,<html><head></head><body spellcheck=,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=33879&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=21df18acb8c74b588d3a7ee4b2014afe&thumb=Y,2023-11-17,기관,00:00.0,00:00.0,,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144263&menuNo=200008
교육/체험,도봉구,[김근태기념도서관] 개관2주년 기념행사 [희망이 우리를 여기에],2023-12-02~2023-12-03,김근태기념도서관,도봉구청,누구나,무료,"방현석 작가, 신수정 평론가, 앙상블비플랫 외 다수",김근태기념도서관 개관 2주년 기념 행사 '희망이 우리를 여기에',,http://www.unilib.dobong.kr/board/list.do?a_num=19606946,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=16d11e2b49e641819b88f443175d7648&thumb=Y,2023-11-20,기관,00:00.0,00:00.0,기타,37.68766744,127.0440199,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144305&menuNo=200011
클래식,구로구,구로구립소년소녀합창단 제13회 정기연주회 [Why We Sing],2023-12-02~2023-12-02,구로아트밸리예술극장,구로문화재단,5세이상,,,,,https://www.guroartsvalley.or.kr/user/performance/performanceView.do?performanceSeq=3713&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3853f80e2cac4253aed0c1e8a49eff63&thumb=Y,2023-11-14,기관,00:00.0,00:00.0,기타,37.49655847,126.8889639,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144199&menuNo=200008
